parallax,gaia_magnitude,teff
0.020000053745673145,10.433743,4375.807621484724
0.02000135125615597,11.261729,4028.30200192997
0.020001983608609337,13.941639,3117.494594731
0.020002421113740076,9.583755,5088.062364165468
0.020002445407631478,13.561688,3240.4841670423957
0.02000344465552067,11.88429,3753.0949687278435
0.020003635039776698,9.593993,4870.715011792174
0.02000454155758425,13.99316,3129.9574171676954
0.020005320684237146,13.558805,3302.8277619616097
0.020005390923655508,8.438466,5711.223543714111
0.020005769844112585,12.233984,3522.3501081321974
0.02000616474997572,12.8443165,3375.9837604864597
0.020006574018812832,12.488233,3589.415187371438
0.02000754576257461,13.626085,3239.991020803512
0.02000866883592647,13.6443,3195.02676791596
0.020009149782939155,11.588616,3793.110189019686
0.020009252884926842,6.348521,6082.1979441516405
0.02000926534539744,13.347227,3309.945734158401
0.02000967821482953,13.143594,3336.9460309751385
0.020010173598141116,13.186905,3253.8730671473563
0.02001041343939526,12.585021,3211.0606782102263
0.02001076646429829,13.717497,3184.802011502578
0.02001123793568072,12.591896,3549.7731913688326
0.020011870907377237,13.010011,3362.2769100702335
0.020012912821041867,6.823723,5920.774984243069
0.020013359580233828,13.067814,2975.950888058888
0.02001455765594189,12.283565,3624.134083055882
0.020016337370479722,10.418767,4463.517118972657
0.02001645536129841,12.33708,3685.864069780365
0.02001811537614863,10.068571,4556.272880284995
0.02001812085797668,8.938067,5503.504721687951
0.020019591667184693,11.965701,3539.6884867392355
0.0200196708974552,7.614327,5721.318620070037
0.02001976978212424,7.0700984,6002.719528191823
0.02002005049603782,8.892772,4817.581591857759
0.020020954112388762,13.824855,3188.7198629892832
0.02002112981730929,8.875816,5320.273791543518
0.020021384147855908,13.609197,3232.2706050837674
0.020021880722985396,10.305925,4424.42472328971
0.02002212871470844,13.787629,3125.0766013550833
0.02002221630200301,13.972431,3211.1182336819916
0.020022664908610467,12.617488,
0.02002292699057364,13.686995,3284.4418447682506
0.020023334351072127,8.39538,5550.631468050494
0.02002394477331137,12.432221,3295.951642306843
0.020024276990251125,11.45206,3537.895278333559
0.02002520819577285,12.562533,3513.602083433735
0.02002590988691218,11.731977,3481.8681351554746
0.020025923752947476,11.88314,3600.241087478022
0.020025991379775405,13.958385,3198.1591790724024
0.020026372052990144,8.013797,5706.492655659035
0.02002638337365549,12.785183,3387.971257435452
0.020026647712660082,12.960215,3346.322492181031
0.020026906897724562,9.185509,5173.93759047695
0.020027392989361764,13.260779,3162.4506624152177
0.02002757078505421,9.431236,4765.951899749619
0.02002784225311506,13.248117,3181.965427651396
0.02002815720879278,10.051121,4575.5315754198045
0.020028516556321426,10.993653,4033.525476555442
0.02002876222263075,9.683793,4908.2426685719165
0.0200288219075042,8.573246,5532.891820040295
0.020029018573284953,13.8240385,3134.3708100030417
0.020029582021311526,13.555076,3277.1659578485214
0.02002964100569147,8.415382,5417.904639937199
0.020030896047708406,8.24642,5553.997414755658
0.02003091590610375,13.54673,3346.0689347820685
0.02003093524494889,12.2828865,3550.625212135641
0.02003101574648349,10.918323,4204.124998610742
0.020031139820261997,9.109594,5134.658178080806
0.020032101812513154,10.777275,4218.433442657958
0.02003279571682189,13.423807,3274.0795736460336
0.020034258671265424,13.585808,3463.357609542384
0.02003504626682188,7.000403,6285.911493890208
0.020035667265603452,12.798977,3312.420686163086
0.02003593587425668,10.424107,4450.353105612125
0.0200359506009316,11.694641,3774.676782160053
0.020036461547322207,11.031281,4184.9915151147125
0.02003732175394906,13.809127,3109.8762325134376
0.02003777760522252,13.253396,3279.719572682421
0.02003800063385565,11.894423,3603.60546947416
0.020038341441222657,7.624326,5951.856771470622
0.020038491205946557,12.982521,
0.02003896584565493,12.566731,3503.7962334931017
0.020039412760548072,9.175237,5190.786062925762
0.020039996374773,12.809397,3396.3461458877614
0.02004062186302205,12.558792,3479.7533806557685
0.02004096772989329,12.485084,3687.847380387711
0.020041141595475955,8.428298,5591.935056326116
0.02004129290562604,12.883086,3324.522823970664
0.020041359126680088,13.911356,3039.8749300533395
0.02004156180630361,12.625605,3576.792561710399
0.02004257170862909,12.524273,3990.887823332725
0.020042743251086136,6.8190975,6139.293719495154
0.020043106863443374,11.090448,4082.7270014013807
0.020044111544017723,9.250074,5086.765725604028
0.02004413118444527,13.093966,3240.673994118097
0.0200447542983109,9.397314,5004.322472281935
0.020045460425205806,10.864489,4115.497872934362
0.020045710257716242,13.633437,3151.98082682588
0.020046110353027568,12.363153,3493.0814269727516
0.020046185712466906,7.736768,5748.062328977957
0.020046248418165834,6.427208,5617.489789838412
0.02004672700297993,12.636974,3530.9352588552197
0.020046961010851322,10.286424,4369.125337849901
0.02004697041912541,13.049035,3169.8651443689873
0.02004708889467485,8.549077,5519.953080856773
0.020047202072982325,11.23888,3894.3937139474315
0.020047273019010242,6.9164,6540.56885700188
0.020047274428065517,10.955168,4005.635483859933
0.020047304069514892,11.492008,4016.5927032057552
0.020047717829317295,8.374043,5671.785813900356
0.02004780916762745,8.76244,5487.711527303354
0.020048680369941133,8.167874,5854.9417439064355
0.02004878619784177,11.974798,3593.7485993242963
0.020049152239173848,13.835514,3271.4416192660806
0.020049913286122437,9.390088,5095.428837893385
0.020050330666753755,13.800962,3249.96338889209
0.020051054994372014,13.509614,3351.294205198119
0.02005138307996107,9.261674,5148.282364387216
0.020051850654452003,9.762617,4534.000885388145
0.020053224776056453,13.057648,3168.4784222404783
0.02005325002178936,12.841349,3380.7059113278697
0.020053463217762735,9.703046,4934.617167434628
0.02005385512879549,11.237302,3986.9438353785904
