name,mass,radius
HD 15337 c,8.11,2.39
HD 17156 b,1115.5833,12.33
HD 183579 b,19.7,3.55
HD 189733 b,359.1479,12.666
HD 191939 b,10.0,3.41
HD 191939 c,8.0,3.195
HD 191939 d,2.8,2.995
HD 202772 A b,323.23311,17.318
HD 20329 b,7.42,1.72
HD 207496 b,6.1,2.25
HD 207897 b,14.4,2.501
HD 209458 b,232.0159,15.581
HD 213885 b,8.83,1.745
HD 219134 b,4.74,1.602
HD 219134 c,4.36,1.511
HD 219666 b,16.6,4.71
HD 221416 b,60.5,9.17
HD 23472 b,8.32,2.0
HD 23472 c,3.41,1.87
HD 260655 b,2.14,1.24
HD 260655 c,3.09,1.533
HD 2685 b,371.8611,16.141
HD 3167 b,4.97,1.67
HD 3167 c,11.13,3.0
HD 332231 b,77.55052,9.718
HD 5278 b,7.8,2.45
HD 63935 b,10.8,2.99
HD 63935 c,11.1,2.9
HD 73583 c,9.7,2.39
HD 80653 b,5.72,1.613
HD 86226 c,7.25,2.16
HD 89345 b,34.9613,7.398
HD 93963 A c,19.2,3.228
HD 95338 b,42.44,3.89
HD 97658 b,8.3,2.12
HIP 116454 b,10.1,2.53
HIP 65 A b,1021.18779,22.754
HIP 97166 b,20.0,2.74
K2-100 b,21.8,3.88
K2-110 b,15.9,2.592
K2-111 b,5.58,1.82
K2-114 b,638.8351,10.447
K2-131 b,7.9,1.69
K2-132 b,155.7367,14.572
K2-136 c,18.1,3.0
K2-138 c,6.31,2.299
K2-138 d,7.92,2.39
K2-138 e,12.97,3.39
K2-140 b,295.58042,13.563
K2-141 b,4.97,1.51
K2-146 b,5.77,2.05
K2-146 c,7.49,2.19
K2-167 b,6.5,2.3
K2-18 b,8.92,2.37
K2-182 b,20.0,2.69
K2-19 b,32.4,7.0
K2-19 c,10.8,4.1
K2-199 b,6.9,1.73
K2-199 c,12.4,2.85
K2-216 b,8.0,1.75
K2-222 b,8.7,2.35
K2-232 b,126.49634,11.209
K2-237 b,433.20012,16.197
K2-238 b,273.3338,14.572
K2-24 b,19.0,5.4
K2-24 c,15.4,7.5
K2-25 b,24.5,3.44
K2-260 b,451.3186,17.396
K2-261 b,59.75174,9.528
K2-263 b,14.9,2.41
K2-265 b,6.54,1.71
K2-27 b,30.9,4.48
K2-280 b,37.1,7.5
K2-285 b,9.68,2.59
K2-285 c,15.68,3.53
K2-287 b,100.11645,9.494
K2-29 b,232.0159,13.339
K2-290 c,246.00042,11.276
K2-291 b,6.49,1.589
K2-292 b,24.5,2.63
K2-295 b,106.47305,10.054
K2-3 b,6.47,2.25
K2-30 b,184.02357,11.646
K2-32 b,15.0,5.299
K2-32 c,8.1,3.134
K2-329 b,82.6358,8.676
K2-38 b,7.7,1.655
K2-38 c,7.4,2.49
K2-60 b,135.39558,7.656
K2-66 b,21.3,2.49
K2-79 b,9.2,4.09
KELT-1 b,8654.15,12.442
KELT-10 b,215.80657,15.681
KELT-11 b,54.34893,15.132
KELT-12 b,301.9385,19.952
KELT-14 b,408.09372,19.537
KELT-16 b,874.0325,15.861
KELT-17 b,416.3573,17.094
KELT-18 b,375.0394,17.598
KELT-2 A b,540.311,15.132
KELT-23 A b,298.12454,14.83
KELT-24 b,1646.3594,14.258
KELT-3 b,616.5902,17.486
KELT-4 A b,286.68266,19.044
KELT-6 b,165.2716,14.572
KELT-7 b,441.7837,17.934
KELT-8 b,209.7678,18.159
KELT-9 b,915.3504,21.196
KOI-1257 b,460.83,10.54
KOI-13 b,2949.4624,16.948
KOI-142 b,9.5,3.438
KOI-1599.01,4.6,1.9
KOI-1599.02,9.0,1.9
KOI-94 d,106.0,11.27
KPS-1 b,346.4347,11.545
Kepler-10 b,3.26,1.47
Kepler-10 c,11.4,2.355
Kepler-101 b,51.1,5.77
Kepler-105 c,4.6,1.31
Kepler-107 c,10.0,1.597
Kepler-107 e,14.1,2.903
Kepler-11 d,7.3,3.12
Kepler-11 e,8.0,4.19
Kepler-117 c,584.78,12.341
Kepler-12 b,137.30256,19.661
Kepler-129 c,43.0,2.52
Kepler-131 b,16.13,2.41
Kepler-138 b,0.07,0.64
Kepler-138 c,2.3,1.51
Kepler-14 b,2669.66,12.733
Kepler-15 b,209.76,10.76
Kepler-1658 b,1868.8404,11.994
Kepler-17 b,778.65,14.68
Kepler-1705 b,4.47,2.03
Kepler-1705 c,5.42,2.05
Kepler-177 b,5.84,3.5
Kepler-177 c,14.7,8.73
Kepler-18 c,17.3,5.49
Kepler-18 d,16.4,6.98
Kepler-20 b,9.7,1.773
Kepler-20 c,11.1,2.894
Kepler-20 d,13.4,2.606
Kepler-21 b,7.5,1.639
Kepler-223 b,7.4,2.99
Kepler-223 c,5.1,3.44
Kepler-223 d,8.0,5.24
Kepler-223 e,4.8,4.6
Kepler-25 b,8.7,2.748
Kepler-25 c,15.2,5.217
Kepler-26 b,5.12,2.78
Kepler-26 c,6.2,2.72
Kepler-289 d,4.0,2.68
Kepler-29 b,5.0,2.55
Kepler-29 c,4.5,2.34
Kepler-30 b,11.3,3.9
Kepler-30 c,640.0,12.3
Kepler-307 b,7.44,2.43
Kepler-307 c,3.64,2.2
Kepler-36 b,3.83,1.498
Kepler-36 c,7.13,3.679
Kepler-39 b,6388.1,13.9
Kepler-4 b,24.472,4.002
Kepler-40 b,699.2,13.11
Kepler-406 b,6.35,1.43
Kepler-41 b,177.98,14.46
Kepler-411 b,25.6,2.401
Kepler-411 c,26.4,4.421
Kepler-412 b,299.07803,15.031
Kepler-419 b,794.5,10.8
Kepler-423 b,189.101,13.361
Kepler-424 b,327.35,9.98
Kepler-426 b,108.06,12.22
Kepler-428 b,403.63,12.11
Kepler-43 b,1026.5909,13.664
Kepler-432 b,1719.4603,12.834
Kepler-433 b,896.24,16.25
Kepler-434 b,908.96,12.67
Kepler-435 b,266.97,22.31
Kepler-44 b,317.82,12.22
Kepler-45 b,160.497,10.76
Kepler-454 b,5.4,2.37
Kepler-48 c,14.61,2.71
Kepler-5 b,670.93913,15.984
Kepler-51 c,4.0,9.0
Kepler-538 b,12.9,2.215
Kepler-56 b,22.1,6.51
Kepler-56 c,181.0,9.8
Kepler-595 b,17.4,3.708
Kepler-6 b,212.31044,14.617
Kepler-60 b,4.19,1.71
Kepler-60 c,3.85,1.9
Kepler-60 d,4.16,1.99
Kepler-68 b,8.03,2.357
Kepler-7 b,140.16303,18.181
Kepler-74 b,200.22,10.76
Kepler-75 b,3209.9,11.77
Kepler-76 b,638.8383,15.244
Kepler-77 b,136.661,10.761
Kepler-78 b,1.68,1.201
Kepler-79 d,6.0,7.16
Kepler-79 e,4.1,3.49
Kepler-8 b,187.5197,15.872
Kepler-80 b,6.93,2.67
Kepler-80 c,6.74,2.74
Kepler-80 d,6.75,1.53
Kepler-80 e,4.13,1.6
Kepler-82 b,12.15,4.07
Kepler-82 c,13.9,5.34
Kepler-9 b,43.4,8.29
Kepler-9 c,29.9,8.08
Kepler-91 b,257.4423,15.323
Kepler-93 b,4.66,1.478
Kepler-94 b,10.84,3.51
Kepler-95 b,13.0,3.42
Kepler-99 b,6.15,1.48
L 168-9 b,4.6,1.39
L 98-59 c,2.22,1.385
L 98-59 d,1.94,1.521
LHS 1140 b,6.38,1.635
LHS 1140 c,1.76,1.169
LHS 1478 b,2.33,1.242
LP 714-47 b,30.8,4.7
LP 791-18 c,7.1,2.438
LTT 1445 A b,2.87,1.305
LTT 1445 A c,1.54,1.147
LTT 3780 b,2.62,1.332
LTT 3780 c,8.6,2.3
LTT 9779 b,29.32,4.72
Lupus-TR-3 b,257.431,9.976
MASCARA-4 b,985.273,17.15
NGTS-1 b,258.07796,14.908
NGTS-10 b,687.14846,13.507
NGTS-11 b,109.33352,9.158
NGTS-12 b,66.10864,11.747
NGTS-13 b,1538.2972,12.801
NGTS-14 A b,29.24036,4.977
NGTS-15 b,238.68913,12.33
NGTS-16 b,211.99155,14.572
NGTS-17 b,242.8209,13.899
NGTS-18 b,129.99182,13.563
NGTS-2 b,235.1942,17.878
NGTS-20 b,947.12865,11.994
